"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","CCC","28","","1546","67.22","100%","1.06","100%","0%","11.0","20.5","1.3","4.9","6.3","28.2","12.8","9.6","1.2","0.9","2.9","0.4","21"
"*03al2*","Joel Embiid","PHI","C,Flx","18","Orcas","29","","1215","63.95","100%","2.8","98%","-1.5%","11.1","21.3","1.1","10.2","11.6","33.4","11.5","6.4","1.1","1.9","3.9","0.1","15"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G,Flx","12","GBRAYERS","23","","1196","62.95","100%","7.04","100%","0%","9.2","17.6","3.9","4.1","4.6","26.3","4.2","12.3","1.0","0.7","2.5","0.1","16"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G,Flx","2","HBC","25","@ORL Tue 4:30PM","1295","61.67","100%","4.95","100%","0%","11.2","20.4","1.1","6.9","7.5","30.4","5.5","6.2","2.8","0.9","2.0","0.0","3"
"*04kj6*","Luka Doncic","DAL","PG,G,Flx","4","STARKS","24","","1270","60.48","100%","3.43","100%","0%","10.9","22.4","4.0","6.3","8.1","32.0","8.3","8.5","1.3","0.6","3.9","0.2","12"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","3","BBB","29","MIA Tue 5:00PM","1261","57.32","100%","6.23","100%","+0.1%","11.6","18.9","0.4","6.9","10.4","30.6","10.7","5.1","1.4","1.3","3.9","0.0","16"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","5","BBB","30","DET Tue 7:30PM","1205","54.77","100%","11.52","100%","0%","8.5","16.0","0.1","5.6","6.7","22.7","12.7","3.2","1.0","2.7","2.0","0.0","19"
"*001aw*","Kevin Durant","PHO","SF,PF,F,Flx","10","BBB","35","SAC Tue 7:00PM","989","52.05","100%","11.64","99%","0%","10.6","20.4","2.3","7.4","8.3","31.0","6.5","5.7","0.7","1.2","3.6","0.0","4"
"*049kb*","De'Aaron Fox","SAC","PG,G,Flx","25","BIGFOOTS","26","@PHO Tue 7:00PM","810","50.62","100%","28.59","100%","0%","10.7","22.4","3.1","5.9","8.1","30.4","4.6","6.6","1.4","0.3","2.3","0.0","2"
"*0011e*","LeBron James","LAL","SF,PF,F,Flx","8","Jmarr237","39","DET Tue 7:30PM","1112","50.55","100%","27.51","99%","-0.1%","9.3","16.8","2.3","4.1","5.8","25.0","7.5","6.6","1.5","0.7","3.4","0.0","6"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","21","SDP","27","SAC Tue 7:00PM","647","49.77","100%","17.5","100%","0%","8.9","18.6","2.0","7.5","8.2","27.4","6.3","8.1","0.8","0.5","3.2","0.0","6"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G,Flx","20","GBRAYERS","23","","1036","49.33","100%","58.57","100%","0%","9.3","19.8","3.3","5.0","5.6","27.0","4.1","6.7","0.8","0.6","1.4","0.0","5"
"*04qrk*","Trae Young","ATL","PG,G,Flx","9","Orcas","25","","975","48.75","100%","14.79","100%","0%","8.1","19.6","3.0","7.6","8.7","26.8","2.7","10.5","1.5","0.1","3.9","0.0","12"
